onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
5.12158203125	n/a	SESS_START	10489	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
47.5234375	n/a	TRIAL_START	97328	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
58.48974609375	n/a	COUNTDOWN	119787	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
62.43994140625	n/a	WORD	127877	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	0	COFFEE	18	1	1	0
64.0400390625	n/a	WORD_OFF	131154	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	0	n/a	n/a	0	n/a	0
66.6396484375	n/a	WORD	136478	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	1	SPOON	182	1	2	0
68.23974609375	n/a	WORD_OFF	139755	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	1	n/a	n/a	0	n/a	0
71.1396484375	n/a	WORD	145694	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	2	CHICKEN	112	1	2	0
72.73974609375	n/a	WORD_OFF	148971	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	2	n/a	n/a	0	n/a	0
75.42333984375	n/a	WORD	154467	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	3	TRUCK	279	1	1	0
77.0234375	n/a	WORD_OFF	157744	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	3	n/a	n/a	0	n/a	0
79.990234375	n/a	WORD	163820	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	4	MICROWAVE	97	1	1	0
81.59033203125	n/a	WORD_OFF	167097	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	4	n/a	n/a	0	n/a	0
84.189453125	n/a	WORD	172420	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	5	GOOSE	36	1	2	0
85.7890625	n/a	WORD_OFF	175696	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	5	n/a	n/a	0	n/a	0
88.75634765625	n/a	WORD	181773	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	6	CUCUMBER	272	1	2	0
90.35595703125	n/a	WORD_OFF	185049	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	6	n/a	n/a	0	n/a	0
93.255859375	n/a	WORD	190988	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	7	VALLEY	200	1	1	0
94.85595703125	n/a	WORD_OFF	194265	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	7	n/a	n/a	0	n/a	0
97.638671875	n/a	WORD	199964	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	8	WALL	53	1	2	0
99.23974609375	n/a	WORD_OFF	203243	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	8	n/a	n/a	0	n/a	0
102.1396484375	n/a	WORD	209182	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	9	ANT	158	1	2	0
103.73779296875	n/a	WORD_OFF	212455	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	9	n/a	n/a	0	n/a	0
106.638671875	n/a	WORD	218396	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	10	WILLOW	261	1	1	0
108.23876953125	n/a	WORD_OFF	221673	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	10	n/a	n/a	0	n/a	0
110.98974609375	n/a	WORD	227307	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	11	CHICKEN	112	1	2	1
112.58935546875	n/a	WORD_OFF	230583	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	11	n/a	n/a	0	n/a	0
115.35546875	n/a	WORD	236248	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	12	SPOON	182	1	2	1
116.95556640625	n/a	WORD_OFF	239525	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	12	n/a	n/a	0	n/a	0
119.939453125	n/a	WORD	245636	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	13	LEATHER	105	1	1	0
121.5390625	n/a	WORD_OFF	248912	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	13	n/a	n/a	0	n/a	0
124.13818359375	n/a	WORD	254235	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	14	GOOSE	36	1	2	1
125.73828125	n/a	WORD_OFF	257512	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	14	n/a	n/a	0	n/a	0
128.421875	n/a	WORD	263008	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	15	CUCUMBER	272	1	2	1
130.02197265625	n/a	WORD_OFF	266285	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	15	n/a	n/a	0	n/a	0
132.9208984375	n/a	WORD	272222	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	16	WALL	53	1	2	1
134.52197265625	n/a	WORD_OFF	275501	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	16	n/a	n/a	0	n/a	0
137.087890625	n/a	WORD	280756	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	17	ANT	158	1	2	1
138.68896484375	n/a	WORD_OFF	284035	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	17	n/a	n/a	0	n/a	0
156.5224609375	n/a	REC_START	320558	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
157.8271484375	n/a	REC_WORD	323230	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	CHICKEN	112	0	2	1
158.80029296875	n/a	REC_WORD	325223	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	LEATHER	105	0	1	1
160.01220703125	n/a	REC_WORD	327705	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	MICROWAVE	97	0	1	1
161.2392578125	n/a	REC_WORD	330218	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	GOOSE	36	0	2	1
162.3740234375	n/a	REC_WORD	332542	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	CUCUMBER	272	0	2	1
163.7060546875	n/a	REC_WORD	335270	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	WALL	53	0	2	1
164.826171875	n/a	REC_WORD	337564	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	VALLEY	200	0	1	1
166.0458984375	n/a	REC_WORD	340062	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	TRUCK	279	0	1	1
167.22119140625	n/a	REC_WORD	342469	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	COFFEE	18	0	1	1
168.23095703125	n/a	REC_WORD	344537	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	SPOON	182	0	2	1
169.623046875	n/a	REC_WORD	347388	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	ANT	158	0	2	1
170.5029296875	n/a	REC_WORD	349190	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	WILLOW	261	0	1	1
187.04150390625	n/a	REC_END	383061	n/a	LTP508	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
196.236328125	n/a	TRIAL_START	401892	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
211.26953125	n/a	COUNTDOWN	432680	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
215.31982421875	n/a	WORD	440975	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	0	COW	111	1	2	0
216.92041015625	n/a	WORD_OFF	444253	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	0	n/a	n/a	0	n/a	0
219.4697265625	n/a	WORD	449474	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	1	VAN	280	1	1	0
221.0693359375	n/a	WORD_OFF	452750	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	1	n/a	n/a	0	n/a	0
223.63525390625	n/a	WORD	458005	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	2	LADYBUG	163	0	2	0
225.2353515625	n/a	WORD_OFF	461282	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	2	n/a	n/a	0	n/a	0
227.83642578125	n/a	WORD	466609	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	3	SLINKY	253	1	2	0
229.43603515625	n/a	WORD_OFF	469885	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	3	n/a	n/a	0	n/a	0
232.2021484375	n/a	WORD	475550	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	4	DRIZZLE	296	1	2	0
233.80322265625	n/a	WORD_OFF	478829	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	4	n/a	n/a	0	n/a	0
236.55224609375	n/a	WORD	484459	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	5	PUDDING	80	1	1	0
238.15185546875	n/a	WORD_OFF	487735	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	5	n/a	n/a	0	n/a	0
240.93603515625	n/a	WORD	493437	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	6	MAPLE	256	1	2	0
242.5361328125	n/a	WORD_OFF	496714	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	6	n/a	n/a	0	n/a	0
245.11865234375	n/a	WORD	502003	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	7	BANANA	136	1	2	0
246.71875	n/a	WORD_OFF	505280	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	7	n/a	n/a	0	n/a	0
249.28564453125	n/a	WORD	510537	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	8	LADYBUG	163	0	2	1
250.8857421875	n/a	WORD_OFF	513814	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	8	n/a	n/a	0	n/a	0
253.6357421875	n/a	WORD	519446	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	9	COW	111	1	2	1
255.2353515625	n/a	WORD_OFF	522722	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	9	n/a	n/a	0	n/a	0
257.76953125	n/a	WORD	527912	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	10	SLINKY	253	1	2	1
259.36865234375	n/a	WORD_OFF	531187	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	10	n/a	n/a	0	n/a	0
262.05224609375	n/a	WORD	536683	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	11	MAPLE	256	1	2	1
263.6513671875	n/a	WORD_OFF	539958	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	11	n/a	n/a	0	n/a	0
266.568359375	n/a	WORD	545932	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	12	BANJO	180	1	1	0
268.16796875	n/a	WORD_OFF	549208	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	12	n/a	n/a	0	n/a	0
270.71826171875	n/a	WORD	554431	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	13	DRIZZLE	296	1	2	1
272.3349609375	n/a	WORD_OFF	557742	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	13	n/a	n/a	0	n/a	0
275.15185546875	n/a	WORD	563511	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	14	JACKET	68	1	1	0
276.7509765625	n/a	WORD_OFF	566786	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	14	n/a	n/a	0	n/a	0
279.751953125	n/a	WORD	572932	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	15	BANANA	136	1	2	1
281.35107421875	n/a	WORD_OFF	576207	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	15	n/a	n/a	0	n/a	0
283.98486328125	n/a	WORD	581601	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	16	BED	146	1	1	0
285.58349609375	n/a	WORD_OFF	584875	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	16	n/a	n/a	0	n/a	0
288.5517578125	n/a	WORD	590954	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	17	CARROT	267	1	1	0
290.1513671875	n/a	WORD_OFF	594230	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	17	n/a	n/a	0	n/a	0
307.701171875	n/a	REC_START	630172	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	n/a	n/a	0	n/a	0
308.4990234375	n/a	REC_WORD	631806	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	VAN	280	0	1	1
309.8408203125	n/a	REC_WORD	634554	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	DRIZZLE	296	0	2	1
311.56396484375	n/a	REC_WORD	638083	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	BANANA	136	0	2	1
312.94482421875	n/a	REC_WORD	640911	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	CARROT	267	0	1	1
314.27392578125	n/a	REC_WORD	643633	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	PUDDING	80	0	1	1
315.5849609375	n/a	REC_WORD	646318	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	COW	111	0	2	1
316.89208984375	n/a	REC_WORD	648995	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	ANT	158	0	2	1
317.974609375	n/a	REC_WORD	651212	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	SLINKY	253	0	2	1
319.421875	n/a	REC_WORD	654176	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	BED	146	0	1	1
320.5859375	n/a	REC_WORD	656560	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	JACKET	68	0	1	1
321.87158203125	n/a	REC_WORD	659193	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	BANJO	180	0	1	1
322.98876953125	n/a	REC_WORD	661481	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	MAPLE	256	0	2	1
338.205078125	n/a	REC_END	692644	n/a	LTP508	ltpDelayRepFRReadOnly	4	1	n/a	n/a	n/a	0	n/a	0
338.205078125	n/a	TRIAL_START	692644	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
345.7158203125	n/a	COUNTDOWN	708026	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
349.78271484375	n/a	WORD	716355	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	0	PEACH	139	1	2	0
351.3818359375	n/a	WORD_OFF	719630	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	0	n/a	n/a	0	n/a	0
354.11669921875	n/a	WORD	725231	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	1	SHEEP	117	1	1	0
355.7158203125	n/a	WORD_OFF	728506	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	1	n/a	n/a	0	n/a	0
358.66552734375	n/a	WORD	734547	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	2	SQUID	216	1	1	0
360.265625	n/a	WORD_OFF	737824	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	2	n/a	n/a	0	n/a	0
363.03271484375	n/a	WORD	743491	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	3	DOOR	52	1	1	0
364.6484375	n/a	WORD_OFF	746800	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	3	n/a	n/a	0	n/a	0
367.16552734375	n/a	WORD	751955	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	4	THUNDERSTORM	293	1	2	0
368.765625	n/a	WORD_OFF	755232	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	4	n/a	n/a	0	n/a	0
371.3662109375	n/a	WORD	760558	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	5	OCEAN	196	1	2	0
372.96630859375	n/a	WORD_OFF	763835	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	5	n/a	n/a	0	n/a	0
375.5	n/a	WORD	769024	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	6	SCANNER	93	1	2	0
377.09912109375	n/a	WORD_OFF	772299	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	6	n/a	n/a	0	n/a	0
379.64892578125	n/a	WORD	777521	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	7	TRAIN	285	1	1	0
381.2490234375	n/a	WORD_OFF	780798	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	7	n/a	n/a	0	n/a	0
383.9150390625	n/a	WORD	786258	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	8	TOE	47	0	2	0
385.51611328125	n/a	WORD_OFF	789537	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	8	n/a	n/a	0	n/a	0
388.31591796875	n/a	WORD	795271	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	9	COTTON	98	1	2	0
389.9150390625	n/a	WORD_OFF	798546	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	9	n/a	n/a	0	n/a	0
392.81494140625	n/a	WORD	804485	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	10	THUNDERSTORM	293	1	2	1
394.41455078125	n/a	WORD_OFF	807761	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	10	n/a	n/a	0	n/a	0
397.1318359375	n/a	WORD	813326	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	11	OCEAN	196	1	2	1
398.7314453125	n/a	WORD_OFF	816602	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	11	n/a	n/a	0	n/a	0
401.681640625	n/a	WORD	822644	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	12	EVERGREEN	258	1	1	0
403.28125	n/a	WORD_OFF	825920	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	12	n/a	n/a	0	n/a	0
406.18115234375	n/a	WORD	831859	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	13	PEACH	139	1	2	1
407.78125	n/a	WORD_OFF	835136	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	13	n/a	n/a	0	n/a	0
410.38134765625	n/a	WORD	840461	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	14	TOE	47	0	2	1
411.9814453125	n/a	WORD_OFF	843738	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	14	n/a	n/a	0	n/a	0
414.88134765625	n/a	WORD	849677	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	15	SCANNER	93	1	2	1
416.48095703125	n/a	WORD_OFF	852953	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	15	n/a	n/a	0	n/a	0
419.01513671875	n/a	WORD	858143	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	16	COTTON	98	1	2	1
420.615234375	n/a	WORD_OFF	861420	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	16	n/a	n/a	0	n/a	0
423.21484375	n/a	WORD	866744	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	17	COBBLER	83	1	1	0
424.81494140625	n/a	WORD_OFF	870021	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	17	n/a	n/a	0	n/a	0
442.814453125	n/a	REC_START	906884	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	n/a	n/a	0	n/a	0
443.50634765625	n/a	REC_WORD	908301	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	THUNDERSTORM	293	0	2	1
444.50634765625	n/a	REC_WORD_VV	910349	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	<>	-1	0	n/a	0
444.908203125	n/a	REC_WORD	911172	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	OCEAN	196	0	2	1
446.0380859375	n/a	REC_WORD	913486	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	TRAIN	285	0	1	1
447.2841796875	n/a	REC_WORD	916038	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	PEACH	139	0	2	1
448.42529296875	n/a	REC_WORD	918375	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	COBBLER	83	0	1	1
449.65625	n/a	REC_WORD	920896	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	DOOR	52	0	1	1
450.6162109375	n/a	REC_WORD	922862	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	SHEEP	117	0	1	1
451.96728515625	n/a	REC_WORD	925629	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	COTTON	98	0	2	1
453.0	n/a	REC_WORD	927744	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	SQUID	216	0	1	1
454.2080078125	n/a	REC_WORD	930218	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	SCANNER	93	0	2	1
461.27099609375	n/a	REC_WORD	944683	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	EVERGREEN	258	0	1	1
473.318359375	n/a	REC_END	969356	n/a	LTP508	ltpDelayRepFRReadOnly	4	2	n/a	n/a	n/a	0	n/a	0
473.318359375	n/a	TRIAL_START	969356	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
480.86328125	n/a	COUNTDOWN	984808	n/a	LTP508	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
484.81298828125	n/a	WORD	992897	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	0	NOTEBOOK	221	1	2	0
486.4130859375	n/a	WORD_OFF	996174	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	0	n/a	n/a	0	n/a	0
489.3291015625	n/a	WORD	1002146	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	1	BROCCOLI	266	1	2	0
490.92919921875	n/a	WORD_OFF	1005423	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	1	n/a	n/a	0	n/a	0
493.62890625	n/a	WORD	1010952	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	2	BASKETBALL	247	1	1	0
495.22998046875	n/a	WORD_OFF	1014231	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	2	n/a	n/a	0	n/a	0
497.74609375	n/a	WORD	1019384	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	3	GIRAFFE	305	1	2	0
499.3466796875	n/a	WORD_OFF	1022662	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	3	n/a	n/a	0	n/a	0
502.24560546875	n/a	WORD	1028599	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	4	CHAIR	147	1	1	0
503.845703125	n/a	WORD_OFF	1031876	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	4	n/a	n/a	0	n/a	0
506.49560546875	n/a	WORD	1037303	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	5	AXE	241	1	1	0
508.095703125	n/a	WORD_OFF	1040580	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	5	n/a	n/a	0	n/a	0
510.8466796875	n/a	WORD	1046214	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	6	DUCK	33	1	2	0
512.4453125	n/a	WORD_OFF	1049488	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	6	n/a	n/a	0	n/a	0
515.16259765625	n/a	WORD	1055053	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	7	TOASTER	9	1	2	0
516.76220703125	n/a	WORD_OFF	1058329	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	7	n/a	n/a	0	n/a	0
519.72802734375	n/a	WORD	1064403	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	8	MILK	21	1	2	0
521.3291015625	n/a	WORD_OFF	1067682	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	8	n/a	n/a	0	n/a	0
524.044921875	n/a	WORD	1073244	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	9	NOTEBOOK	221	1	2	1
525.64501953125	n/a	WORD_OFF	1076521	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	9	n/a	n/a	0	n/a	0
528.59619140625	n/a	WORD	1082565	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	10	BROCCOLI	266	1	2	1
530.19482421875	n/a	WORD_OFF	1085839	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	10	n/a	n/a	0	n/a	0
533.1796875	n/a	WORD	1091952	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	11	GIRAFFE	305	1	2	1
534.77880859375	n/a	WORD_OFF	1095227	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	11	n/a	n/a	0	n/a	0
537.74462890625	n/a	WORD	1101301	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	12	VIOLET	127	1	1	0
539.345703125	n/a	WORD_OFF	1104580	n/a	LTP508	ltpDelayRepFRReadOnly	4	3	12	n/a	n/a	0	n/a	0
